,task,correctness,order,Clean,Zero,Median,Reset
0,T1098,correct,rel_irr,8.59375,,8.09375,7.9609375
1,T1098,correct,irr_rel,8.3359375,,7.98828125,8.5078125
2,T1098,incorrect,rel_irr,8.59375,,8.09375,7.9609375
3,T1098,incorrect,irr_rel,8.3359375,,7.98828125,8.5078125
4,T1110,correct,rel_irr,8.2578125,,7.16015625,8.390625
5,T1110,correct,irr_rel,7.9765625,,7.4453125,8.671875
6,T1110,incorrect,rel_irr,8.2578125,,7.16015625,8.390625
7,T1110,incorrect,irr_rel,7.9765625,,7.4453125,8.671875
8,T1059.001,correct,rel_irr,9.0625,,7.953125,9.390625
9,T1059.001,correct,irr_rel,9.59375,,8.3828125,9.6171875
10,T1059.001,incorrect,rel_irr,9.0625,,7.953125,9.390625
11,T1059.001,incorrect,irr_rel,9.59375,,8.3828125,9.6171875
12,T1059.003,correct,rel_irr,9.8515625,,8.734375,9.4921875
13,T1059.003,correct,irr_rel,9.9296875,,8.8671875,9.5859375
14,T1059.003,incorrect,rel_irr,9.8515625,,8.734375,9.4921875
15,T1059.003,incorrect,irr_rel,9.9296875,,8.8671875,9.5859375
16,T1059.005,correct,rel_irr,10.3828125,,7.2890625,9.5703125
17,T1059.005,correct,irr_rel,10.65625,,7.203125,10.0
18,T1059.005,incorrect,rel_irr,10.3828125,,7.2890625,9.5703125
19,T1059.005,incorrect,irr_rel,10.65625,,7.203125,10.0
20,T1554,correct,rel_irr,9.1875,,9.296875,9.3984375
21,T1554,correct,irr_rel,8.9921875,,8.3046875,9.6484375
22,T1554,incorrect,rel_irr,9.1875,,9.296875,9.3984375
23,T1554,incorrect,irr_rel,8.9921875,,8.3046875,9.6484375
24,T1136,correct,rel_irr,8.6640625,,7.84375,8.875
25,T1136,correct,irr_rel,8.796875,,8.484375,8.8359375
26,T1136,incorrect,rel_irr,8.6640625,,7.84375,8.875
27,T1136,incorrect,irr_rel,8.796875,,8.484375,8.8359375
28,T1136.002,correct,rel_irr,8.046875,,8.34375,9.0390625
29,T1136.002,correct,irr_rel,8.90625,,7.62109375,8.7109375
30,T1136.002,incorrect,rel_irr,8.046875,,8.34375,9.0390625
31,T1136.002,incorrect,irr_rel,8.90625,,7.62109375,8.7109375
32,T1543.003,correct,rel_irr,9.4375,,8.6484375,9.1875
33,T1543.003,correct,irr_rel,9.796875,,9.0546875,9.6015625
34,T1543.003,incorrect,rel_irr,9.4375,,8.6484375,9.1875
35,T1543.003,incorrect,irr_rel,9.796875,,9.0546875,9.6015625
36,T1562.002,correct,rel_irr,9.09375,,8.9921875,8.4140625
37,T1562.002,correct,irr_rel,8.9296875,,8.3984375,8.7265625
38,T1562.002,incorrect,rel_irr,9.09375,,8.9921875,8.4140625
39,T1562.002,incorrect,irr_rel,8.9296875,,8.3984375,8.7265625
40,T1570,correct,rel_irr,8.4140625,,9.9453125,8.9140625
41,T1570,correct,irr_rel,8.1484375,,10.21875,9.796875
42,T1570,incorrect,rel_irr,8.4140625,,9.9453125,8.9140625
43,T1570,incorrect,irr_rel,8.1484375,,10.21875,9.796875
44,T1036.005,correct,rel_irr,7.7578125,,5.4375,9.65625
45,T1036.005,correct,irr_rel,9.28125,,6.875,10.03125
46,T1036.005,incorrect,rel_irr,7.7578125,,5.4375,9.65625
47,T1036.005,incorrect,irr_rel,9.28125,,6.875,10.03125
48,T1036.008,correct,rel_irr,9.0078125,,6.66015625,8.3984375
49,T1036.008,correct,irr_rel,8.921875,,6.3828125,8.8984375
50,T1036.008,incorrect,rel_irr,9.0078125,,6.66015625,8.3984375
51,T1036.008,incorrect,irr_rel,8.921875,,6.3828125,8.8984375
52,T1027,correct,rel_irr,9.1796875,,8.78125,9.140625
53,T1027,correct,irr_rel,9.703125,,9.0625,9.34375
54,T1027,incorrect,rel_irr,9.1796875,,8.78125,9.140625
55,T1027,incorrect,irr_rel,9.703125,,9.0625,9.34375
56,T1027.002,correct,rel_irr,8.5625,,8.25,8.2578125
57,T1027.002,correct,irr_rel,8.109375,,7.98046875,7.921875
58,T1027.002,incorrect,rel_irr,8.5625,,8.25,8.2578125
59,T1027.002,incorrect,irr_rel,8.109375,,7.98046875,7.921875
60,T1003.001,correct,rel_irr,10.328125,,8.046875,9.484375
61,T1003.001,correct,irr_rel,10.515625,,8.625,9.890625
62,T1003.001,incorrect,rel_irr,10.328125,,8.046875,9.484375
63,T1003.001,incorrect,irr_rel,10.515625,,8.625,9.890625
64,T1021.002,correct,rel_irr,9.8984375,,9.0625,9.734375
65,T1021.002,correct,irr_rel,9.4140625,,9.3203125,9.640625
66,T1021.002,incorrect,rel_irr,9.8984375,,9.0625,9.734375
67,T1021.002,incorrect,irr_rel,9.4140625,,9.3203125,9.640625
68,T1018,correct,rel_irr,8.765625,,9.609375,9.453125
69,T1018,correct,irr_rel,8.8671875,,9.7109375,9.78125
70,T1018,incorrect,rel_irr,8.765625,,9.609375,9.453125
71,T1018,incorrect,irr_rel,8.8671875,,9.7109375,9.78125
72,T1505.001,correct,rel_irr,8.5234375,,8.4375,8.671875
73,T1505.001,correct,irr_rel,8.828125,,8.84375,8.6015625
74,T1505.001,incorrect,rel_irr,8.5234375,,8.4375,8.671875
75,T1505.001,incorrect,irr_rel,8.828125,,8.84375,8.6015625
76,T1047,correct,rel_irr,10.5546875,,7.6640625,8.5234375
77,T1047,correct,irr_rel,10.5625,,8.0703125,8.90625
78,T1047,incorrect,rel_irr,10.5546875,,7.6640625,8.5234375
79,T1047,incorrect,irr_rel,10.5625,,8.0703125,8.90625
80,T0807,correct,rel_irr,9.5078125,,8.7890625,9.40625
81,T0807,correct,irr_rel,9.9609375,,9.125,9.6171875
82,T0807,incorrect,rel_irr,9.5078125,,8.7890625,9.40625
83,T0807,incorrect,irr_rel,9.9609375,,9.125,9.6171875
84,T0867,correct,rel_irr,8.4296875,,8.421875,8.2734375
85,T0867,correct,irr_rel,8.6171875,,8.359375,9.015625
86,T0867,incorrect,rel_irr,8.4296875,,8.421875,8.2734375
87,T0867,incorrect,irr_rel,8.6171875,,8.359375,9.015625
88,T0849,correct,rel_irr,7.84765625,,5.98828125,8.59375
89,T0849,correct,irr_rel,7.82421875,,7.58203125,8.5234375
90,T0849,incorrect,rel_irr,7.84765625,,5.98828125,8.59375
91,T0849,incorrect,irr_rel,7.82421875,,7.58203125,8.5234375
92,T0886,correct,rel_irr,8.5703125,,7.984375,8.8359375
93,T0886,correct,irr_rel,9.0859375,,8.2421875,9.1640625
94,T0886,incorrect,rel_irr,8.5703125,,7.984375,8.8359375
95,T0886,incorrect,irr_rel,9.0859375,,8.2421875,9.1640625
96,T0853,correct,rel_irr,9.1328125,,6.97265625,9.796875
97,T0853,correct,irr_rel,9.421875,,3.955078125,9.890625
98,T0853,incorrect,rel_irr,9.1328125,,6.97265625,9.796875
99,T0853,incorrect,irr_rel,9.421875,,3.955078125,9.890625
100,T0859,correct,rel_irr,9.796875,,3.29296875,10.0390625
101,T0859,correct,irr_rel,9.7265625,,7.05859375,9.859375
102,T0859,incorrect,rel_irr,9.796875,,3.29296875,10.0390625
